"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"AGO^F","Assured Guaranty Ltd.","20.5","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ago^f",
"AZN","Astrazeneca PLC","39.42","$103.45B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/azn",
"HOME","At Home Group Inc.","2.04","$130.78M","2016","Consumer Services","Home Furnishings","https://old.nasdaq.com/symbol/home",
"T","AT&T Inc.","28.45","$204.36B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/t",
"T^A","AT&T Inc.","19.71","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/t^a",
"T^C","AT&T Inc.","17.86","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/t^c",
"TBB","AT&T Inc.","23.5","n/a","2017","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/tbb",
"TBC","AT&T Inc.","24.28","n/a","2018","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/tbc",
"ATTO","Atento S.A.","1.01","$76.16M","2014","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/atto",
"ATH","Athene Holding Ltd.","16.72","$3.41B","2016","Finance","Life Insurance","https://old.nasdaq.com/symbol/ath",
"ATH^A","Athene Holding Ltd.","13.98","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ath^a",
"ATH^B","Athene Holding Ltd.","13.9233","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ath^b",
"ATKR","Atkore International Group Inc.","18.88","$896.5M","2016","Miscellaneous","Industrial Machinery/Components","https://old.nasdaq.com/symbol/atkr",
"AT","Atlantic Power Corporation","1.99","$212.87M","n/a","Energy","Electric Utilities: Central","https://old.nasdaq.com/symbol/at",
"ATCO","Atlas Corp.","6.72","$1.45B","n/a","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/atco",
"ATCO^D","Atlas Corp.","16.15","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atco^d",
"ATCO^E","Atlas Corp.","15.2","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atco^e",
"ATCO^G","Atlas Corp.","14.44","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atco^g",
"ATCO^H","Atlas Corp.","14.22","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atco^h",
"ATCO^I","Atlas Corp.","14.925","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atco^i",
"ATO","Atmos Energy Corporation","86.2","$10.54B","n/a","Public Utilities","Oil/Gas Transmission","https://old.nasdaq.com/symbol/ato",
"ACB","Aurora Cannabis Inc.","0.73","$853.34M","2018","Consumer Durables","Specialty Chemicals","https://old.nasdaq.com/symbol/acb",
"ATHM","Autohome Inc.","63.71","$7.52B","2013","Technology","EDP Services","https://old.nasdaq.com/symbol/athm",
"ALV","Autoliv, Inc.","40.18","$3.51B","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/alv",
"AN","AutoNation, Inc.","26.5","$2.37B","n/a","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/an",
"AZO","AutoZone, Inc.","728.13","$17B","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/azo",
"AVLR","Avalara, Inc.","62","$4.84B","2018","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/avlr",
"AVB","AvalonBay Communities, Inc.","131.62","$18.51B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/avb",
"AGR","Avangrid, Inc.","41.63","$12.86B","2015","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/agr",
"AVNS","Avanos Medical, Inc.","21.14","$1.01B","2014","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/avns",
"AVTR","Avantor, Inc.","10.41","$5.96B","2019","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/avtr",
"AVTR^A","Avantor, Inc.","37.58","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/avtr^a",
"AVYA","Avaya Holdings Corp.","8.15","$757.82M","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/avya",
"AVY","Avery Dennison Corporation","90.8","$7.56B","n/a","Consumer Durables","Containers/Packaging","https://old.nasdaq.com/symbol/avy",
"AVH","Avianca Holdings S.A.","0.9","$112.16M","2013","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/avh",
